,Month,DayofMonth,CRSDepTime,Delayed,Visibility
398444,1,1,1905,1,10.0
398445,1,2,1905,1,9.0
398446,1,3,1905,1,5.0
398447,1,4,1905,0,8.0
398448,1,5,1905,1,10.0
398449,1,6,1905,1,10.0
398450,1,7,1905,0,10.0
398451,1,8,1905,0,10.0
398452,1,9,1905,0,10.0
398453,1,10,1905,1,10.0
398454,1,11,1905,1,7.0
398455,1,12,1905,0,5.0
398456,1,13,1905,1,6.0
398457,1,14,1905,0,1.0
398458,1,15,1905,0,8.0
398459,1,16,1905,0,10.0
398460,1,17,1905,1,6.0
398461,1,18,1905,0,7.0
398462,1,19,1905,0,10.0
398463,1,20,1905,0,10.0
398464,1,21,1905,0,9.0
398465,1,22,1905,0,7.0
398466,1,23,1905,1,4.0
398467,1,24,1905,1,10.0
398468,1,25,1905,1,10.0
398469,1,26,1905,0,1.0
398470,1,27,1905,0,10.0
398471,1,28,1905,1,5.0
398472,1,29,1905,0,3.0
398473,1,30,1905,0,3.0
398474,1,31,1905,0,6.0
398722,1,1,900,0,10.0
398723,1,2,900,0,10.0
398724,1,3,900,1,3.0
398725,1,4,900,0,5.0
398726,1,5,900,0,10.0
398727,1,6,900,0,10.0
398728,1,7,900,0,10.0
398729,1,8,900,0,10.0
398730,1,9,900,1,10.0
398731,1,10,900,1,10.0
398732,1,11,900,1,9.0
398733,1,12,900,0,4.0
398734,1,13,900,0,1.0
398735,1,14,900,0,1.0
398736,1,15,900,0,2.0
398737,1,16,900,0,1.0
398738,1,17,900,0,8.0
398739,1,18,900,0,8.0
398740,1,19,900,0,4.0
398741,1,20,900,0,10.0
398742,1,21,900,0,10.0
398743,1,22,900,0,4.0
398744,1,23,900,0,5.0
398745,1,24,900,0,10.0
398746,1,25,900,1,10.0
398747,1,26,900,0,1.0
398748,1,27,900,0,10.0
398749,1,28,900,0,10.0
398750,1,29,900,0,8.0
398751,1,30,900,0,3.0
398752,1,31,900,0,7.0
398899,1,1,1455,0,10.0
398900,1,2,1455,1,10.0
398901,1,3,1455,1,3.0
398902,1,4,1455,0,7.0
398903,1,5,1455,0,10.0
398904,1,6,1455,0,10.0
398905,1,7,1455,0,10.0
398906,1,8,1455,0,10.0
398907,1,9,1455,1,10.0
398908,1,10,1455,0,10.0
398909,1,11,1455,0,8.0
398910,1,12,1455,1,10.0
398911,1,13,1455,0,6.0
398912,1,14,1455,1,3.0
398913,1,15,1455,0,5.0
398914,1,16,1455,0,5.0
398915,1,17,1455,0,6.0
398916,1,18,1455,0,8.0
398917,1,19,1455,1,10.0
398918,1,20,1455,0,10.0
398919,1,21,1455,1,10.0
398920,1,22,1455,0,9.0
398921,1,23,1455,0,6.0
398922,1,24,1455,1,10.0
398923,1,25,1455,0,10.0
398924,1,26,1455,0,1.0
398925,1,27,1455,0,10.0
398926,1,28,1455,0,10.0
398927,1,29,1455,0,4.0
398928,1,30,1455,1,5.0
398929,1,31,1500,1,6.0
399022,1,1,1905,0,10.0
399023,1,2,1905,1,9.0
399024,1,3,1905,1,5.0
399025,1,4,1905,0,8.0
399026,1,5,1905,0,10.0
399027,1,6,1905,0,10.0
399028,1,7,1905,0,10.0
399029,1,8,1905,0,10.0
399030,1,9,1905,0,10.0
399031,1,10,1905,0,10.0
399032,1,11,1905,0,7.0
399033,1,12,1905,0,5.0
399034,1,13,1905,0,6.0
399035,1,14,1905,0,1.0
399036,1,15,1905,0,8.0
399037,1,16,1905,0,10.0
399038,1,17,1905,0,6.0
399039,1,18,1905,0,7.0
399040,1,19,1905,0,10.0
399041,1,20,1905,0,10.0
399042,1,21,1905,0,9.0
399043,1,22,1905,0,7.0
399044,1,23,1905,0,4.0
399045,1,24,1905,0,10.0
399046,1,25,1905,0,10.0
399047,1,26,1905,1,1.0
399048,1,27,1905,0,10.0
399049,1,28,1905,1,5.0
399050,1,29,1905,0,3.0
399051,1,30,1905,0,3.0
399052,1,31,1910,0,6.0
399138,1,4,1855,0,7.0
399139,1,5,1855,0,10.0
399140,1,6,1855,0,10.0
399141,1,7,1855,0,10.0
399142,1,8,1855,1,10.0
399143,1,9,1855,0,10.0
399144,1,10,1855,0,10.0
399145,1,11,1855,0,8.0
399146,1,12,1855,1,6.0
399147,1,13,1855,0,6.0
399148,1,14,1855,0,2.0
399149,1,15,1855,0,7.0
399150,1,16,1855,1,10.0
399151,1,17,1855,0,7.0
399152,1,18,1855,0,8.0
399153,1,19,1855,0,10.0
399154,1,20,1855,0,10.0
399155,1,21,1855,0,9.0
399156,1,22,1855,0,7.0
399157,1,23,1855,0,3.0
399158,1,24,1855,1,10.0
399159,1,25,1855,0,10.0
399160,1,26,1855,1,1.0
399161,1,27,1855,0,10.0
399162,1,28,1855,1,4.0
399163,1,29,1855,0,3.0
399164,1,30,1855,0,7.0
399165,1,31,1855,1,6.0
399845,1,1,1650,0,10.0
399846,1,2,1650,0,10.0
399847,1,3,1650,1,3.0
399848,1,4,1645,0,7.0
399849,1,5,1645,0,10.0
399850,1,6,1645,0,10.0
399851,1,7,1645,0,10.0
399852,1,8,1645,0,10.0
399853,1,9,1645,0,10.0
399854,1,10,1645,0,10.0
399855,1,11,1645,0,8.0
399856,1,12,1645,0,7.0
399857,1,13,1645,0,6.0
399858,1,14,1645,0,3.0
399859,1,15,1645,1,1.0
399860,1,16,1645,0,8.0
399861,1,17,1645,0,6.0
399862,1,18,1645,0,7.0
399863,1,19,1645,0,10.0
399864,1,20,1645,1,10.0
399865,1,21,1645,1,10.0
399866,1,22,1645,0,6.0
399867,1,23,1645,0,5.0
399868,1,24,1645,1,10.0
399869,1,25,1645,1,10.0
399870,1,26,1645,0,1.0
399871,1,27,1645,0,10.0
399872,1,28,1645,0,10.0
399873,1,29,1645,0,3.0
399874,1,30,1645,0,8.0
399875,1,31,1640,0,6.0
401411,1,1,2030,0,10.0
401412,1,2,2030,0,7.0
401413,1,3,2030,1,5.0
401414,1,4,2040,0,8.0
401415,1,5,2040,1,10.0
401416,1,6,2040,1,8.0
401417,1,7,2040,0,10.0
401418,1,8,2040,0,10.0
401419,1,9,2040,0,10.0
401420,1,10,2040,0,10.0
401421,1,11,2040,0,5.0
401422,1,12,2040,0,6.0
401423,1,13,2040,1,6.0
401424,1,14,2040,1,1.0
401425,1,15,2040,0,9.0
401426,1,16,2040,0,10.0
401427,1,17,2040,0,6.0
401428,1,18,2040,0,7.0
401429,1,19,2040,1,7.0
401430,1,20,2040,0,10.0
401431,1,21,2040,0,8.0
401432,1,22,2040,0,7.0
401433,1,23,2040,0,5.0
401434,1,24,2040,1,10.0
401435,1,25,2040,0,10.0
401436,1,26,2040,1,6.0
401437,1,27,2040,0,10.0
401438,1,28,2040,1,4.0
401439,1,29,2040,0,3.0
401440,1,30,2040,1,2.0
401644,1,1,845,0,10.0
401645,1,2,845,0,9.0
401646,1,3,845,1,3.0
401647,1,4,845,1,5.0
401648,1,5,845,0,10.0
401649,1,6,845,1,10.0
401650,1,7,845,0,10.0
401651,1,8,845,1,10.0
401652,1,9,845,0,10.0
401653,1,10,845,0,10.0
401654,1,11,845,0,9.0
401655,1,12,845,0,4.0
401656,1,13,845,0,1.0
401657,1,14,845,0,1.0
401658,1,15,845,0,2.0
401659,1,16,845,0,2.0
401660,1,17,845,0,7.0
401661,1,18,845,0,6.0
401662,1,19,845,1,4.0
401663,1,20,845,0,10.0
401664,1,21,845,0,9.0
401665,1,22,845,1,4.0
401666,1,23,845,0,4.0
401667,1,24,845,0,8.0
401668,1,25,845,0,10.0
401669,1,26,845,0,2.0
401670,1,27,845,0,10.0
401671,1,28,845,0,10.0
401672,1,29,845,0,10.0
401673,1,30,845,0,3.0
401674,1,31,840,0,6.0
401826,1,1,1020,1,10.0
401827,1,2,1020,1,10.0
401828,1,3,1020,1,3.0
401829,1,4,1020,0,9.0
401830,1,5,1020,0,10.0
401831,1,6,1020,0,10.0
401832,1,7,1020,0,10.0
401833,1,8,1020,0,10.0
401834,1,9,1020,0,10.0
401835,1,10,1020,0,10.0
401836,1,11,1020,0,9.0
401837,1,12,1020,0,4.0
401838,1,13,1020,0,2.0
401839,1,14,1020,0,1.0
401840,1,15,1020,0,2.0
401841,1,16,1020,0,1.0
401842,1,17,1020,0,8.0
401843,1,18,1020,1,9.0
401844,1,19,1020,0,10.0
401845,1,20,1020,0,10.0
401846,1,21,1020,0,10.0
401847,1,22,1020,0,6.0
401848,1,23,1020,0,6.0
401849,1,24,1020,0,10.0
401850,1,25,1020,0,10.0
401851,1,26,1020,1,2.0
401852,1,27,1020,1,10.0
401853,1,28,1020,0,10.0
401854,1,29,1020,0,8.0
401855,1,30,1020,1,2.0
401856,1,31,1020,0,8.0
401951,1,31,1120,0,8.0
401952,1,1,1130,0,10.0
401953,1,2,1130,1,10.0
401954,1,3,1130,1,3.0
401955,1,4,1130,1,4.0
401956,1,5,1130,0,10.0
401957,1,6,1130,0,10.0
401958,1,7,1130,0,10.0
401959,1,8,1130,1,10.0
401960,1,9,1130,0,10.0
401961,1,10,1130,0,10.0
401962,1,11,1130,0,9.0
401963,1,12,1130,1,5.0
401964,1,13,1130,0,3.0
401965,1,14,1130,0,1.0
401966,1,15,1130,0,2.0
401967,1,16,1130,1,3.0
401968,1,17,1130,0,7.0
401969,1,18,1130,0,10.0
401970,1,19,1130,1,10.0
401971,1,20,1130,0,10.0
401972,1,21,1130,0,10.0
401973,1,22,1130,0,7.0
401974,1,23,1130,1,6.0
401975,1,24,1130,0,10.0
401976,1,25,1130,0,10.0
401977,1,26,1130,0,5.0
401978,1,27,1130,0,10.0
401979,1,28,1130,0,10.0
401980,1,29,1130,0,8.0
401981,1,30,1130,0,2.0
402537,1,1,2200,1,10.0
402538,1,2,2200,1,10.0
402539,1,3,2200,0,5.0
402540,1,4,2200,1,7.0
402541,1,5,2200,0,10.0
402542,1,7,2200,0,10.0
402543,1,8,2200,0,10.0
402544,1,9,2200,0,10.0
402545,1,10,2200,0,10.0
402546,1,11,2200,0,5.0
402547,1,12,2200,1,9.0
402548,1,14,2200,1,2.0
