Entry	Entry name	Protein names	Gene names	Organism	Organism ID	Length	Mass	EC number	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	PubMed ID
Q5UQL3	NDK_MIMIV	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	NDK MIMI_R418	Acanthamoeba polyphaga mimivirus (APMV)	212035	137	15,750	2.7.4.6	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]		ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	15486256; 16957983; 19457438; 16511098
Q5UPJ7	SYY_MIMIV	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	YARS MIMI_L124	Acanthamoeba polyphaga mimivirus (APMV)	212035	346	39,723	6.1.1.1	tyrosyl-tRNA aminoacylation [GO:0006437]		ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; tyrosine binding [GO:0072545]; tyrosine-tRNA ligase activity [GO:0004831]	15486256; 16510997; 17855524
Q5UQX1	MCE_MIMIV	Probable mRNA-capping enzyme [Includes: Polynucleotide 5'-triphosphatase (EC 3.1.3.33) (mRNA 5'-triphosphatase) (TPase); mRNA guanylyltransferase (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (GTase); mRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.56)]	MIMI_R382	Acanthamoeba polyphaga mimivirus (APMV)	212035	1170	136,508	3.1.3.33; 2.7.7.50; 2.1.1.56		virion [GO:0019012]	GTP binding [GO:0005525]; mRNA (guanine-N7-)-methyltransferase activity [GO:0004482]; mRNA guanylyltransferase activity [GO:0004484]; polynucleotide 5'-phosphatase activity [GO:0004651]; RNA binding [GO:0003723]	15486256; 16971431
Q5UQC3	PLOD_MIMIV	Procollagen lysyl hydroxylase and glycosyltransferase (LHGT) (EC 1.14.11.4) (EC 2.4.1.-) (Lysyl hydroxylase) (Procollagen-lysine,2-oxoglutarate 5-dioxygenase)	MIMI_L230	Acanthamoeba polyphaga mimivirus (APMV)	212035	895	103,501	1.14.11.4; 2.4.1.-			iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-lysine 5-dioxygenase activity [GO:0008475]; transferase activity [GO:0016740]	15486256; 21646533; 21375749; 22045808
Q7T6X9	TOP1E_MIMIV	DNA topoisomerase 1B (TopIB) (EC 5.99.1.2) (DNA topoisomerase type IB)	TOP1E MIMI_R194	Acanthamoeba polyphaga mimivirus (APMV)	212035	336	39,879	5.99.1.2	DNA topological change [GO:0006265]	virion [GO:0019012]	DNA binding [GO:0003677]; DNA topoisomerase type I activity [GO:0003917]	15486256; 16352556; 16971431
Q5UQE6	TOP2_MIMIV	DNA topoisomerase 2 (EC 5.99.1.3) (DNA topoisomerase II)	TOP2 MIMI_R480	Acanthamoeba polyphaga mimivirus (APMV)	212035	1263	143,449	5.99.1.3	DNA topological change [GO:0006265]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]	15486256
Q5UPZ0	DNLJ_MIMIV	DNA ligase (EC 6.5.1.2) (NAD-dependent DNA ligase) (Polydeoxyribonucleotide synthase [NAD(+)])	MIMI_R303	Acanthamoeba polyphaga mimivirus (APMV)	212035	636	72,089	6.5.1.2	DNA repair [GO:0006281]; DNA replication [GO:0006260]		DNA ligase (NAD+) activity [GO:0003911]; nucleotide binding [GO:0000166]	15486256; 16844179
Q5UQW2	DIPP_MIMIV	Putative mRNA-decapping protein (EC 3.1.3.-) (Diphosphoinositol polyphosphate phosphohydrolase) (DIPP) (EC 3.6.1.52)	MIMI_L375	Acanthamoeba polyphaga mimivirus (APMV)	212035	360	43,662	3.1.3.-; 3.6.1.52	metabolic process [GO:0008152]		diphosphoinositol-polyphosphate diphosphatase activity [GO:0008486]; inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity [GO:0052846]; inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity [GO:0052847]; inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity [GO:0052843]; inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity [GO:0052848]; inositol-3-diphosphate-1,2,4,5,6-pentakisphosphate diphosphatase activity [GO:0052844]; inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity [GO:0052845]; inositol diphosphate tetrakisphosphate diphosphatase activity [GO:0052840]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	15486256
Q5UQG3	DRTS_MIMIV	Bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)]	MIMI_R497	Acanthamoeba polyphaga mimivirus (APMV)	212035	563	65,063	1.5.1.3; 2.1.1.45	dTMP biosynthetic process [GO:0006231]; glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		dihydrofolate reductase activity [GO:0004146]; thymidylate synthase activity [GO:0004799]	15486256
Q7T6Y8	RIR1_MIMIV	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleotide reductase large subunit)	RNR1 MIMI_R313	Acanthamoeba polyphaga mimivirus (APMV)	212035	881	101,472	1.17.4.1	DNA replication [GO:0006260]		ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	15486256
